OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.90144*((1.+(0.0852815*x))/(1.+(0.0769161*x))))-0.06518438458442688" 
0, mujets, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.90144*((1.+(0.0852815*x))/(1.+(0.0769161*x))))-0.12831133604049683" 
0, mujets, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.90144*((1.+(0.0852815*x))/(1.+(0.0769161*x))))-0.21498267352581024" 
0, mujets, down, 1, -2.4, 2.4, 300, 670, 0, 1, "(0.90144*((1.+(0.0852815*x))/(1.+(0.0769161*x))))-0.22072072327136993" 
0, mujets, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.90144*((1.+(0.0852815*x))/(1.+(0.0769161*x))))-0.051230691373348236" 
0, mujets, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.90144*((1.+(0.0852815*x))/(1.+(0.0769161*x))))-0.047433331608772278" 
0, mujets, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.90144*((1.+(0.0852815*x))/(1.+(0.0769161*x))))-0.037973403930664062" 
0, mujets, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.90144*((1.+(0.0852815*x))/(1.+(0.0769161*x))))-0.03259219229221344" 
0, mujets, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.90144*((1.+(0.0852815*x))/(1.+(0.0769161*x))))-0.064155668020248413" 
0, mujets, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.90144*((1.+(0.0852815*x))/(1.+(0.0769161*x))))-0.10749133676290512" 
0, mujets, down, 0, -2.4, 2.4, 300, 670, 0, 1, "(0.90144*((1.+(0.0852815*x))/(1.+(0.0769161*x))))-0.11036036163568497" 
0, mujets, up, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.90144*((1.+(0.0852815*x))/(1.+(0.0769161*x))))+0.10246138274669647" 
0, mujets, up, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.90144*((1.+(0.0852815*x))/(1.+(0.0769161*x))))+0.094866663217544556" 
0, mujets, up, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.90144*((1.+(0.0852815*x))/(1.+(0.0769161*x))))+0.075946807861328125" 
0, mujets, up, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.90144*((1.+(0.0852815*x))/(1.+(0.0769161*x))))+0.06518438458442688" 
0, mujets, up, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.90144*((1.+(0.0852815*x))/(1.+(0.0769161*x))))+0.12831133604049683" 
0, mujets, up, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.90144*((1.+(0.0852815*x))/(1.+(0.0769161*x))))+0.21498267352581024" 
0, mujets, up, 1, -2.4, 2.4, 300, 670, 0, 1, "(0.90144*((1.+(0.0852815*x))/(1.+(0.0769161*x))))+0.22072072327136993" 
0, mujets, up, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.90144*((1.+(0.0852815*x))/(1.+(0.0769161*x))))+0.051230691373348236" 
0, mujets, up, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.90144*((1.+(0.0852815*x))/(1.+(0.0769161*x))))+0.047433331608772278" 
0, mujets, up, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.90144*((1.+(0.0852815*x))/(1.+(0.0769161*x))))+0.037973403930664062" 
0, mujets, up, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.90144*((1.+(0.0852815*x))/(1.+(0.0769161*x))))+0.03259219229221344" 
0, mujets, up, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.90144*((1.+(0.0852815*x))/(1.+(0.0769161*x))))+0.064155668020248413" 
